post_id,author_id,hashtags,like_count,reply_count,created_at,product_tags,status,visibility
simpost0000000000000011,a1000000-0000-4000-8000-000000000003,"[""sneaker"", ""kicks"", ""dunk""]",1,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000011"", ""categoryId"": ""f1000000-0000-4000-8000-000000000023"", ""shopId"": ""b2000000-0000-4000-8000-000000000003"", ""name"": ""sneaker item 11"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000012,a1000000-0000-4000-8000-000000000004,"[""streetwear"", ""ootd"", ""hoodie""]",1,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000012"", ""categoryId"": ""f1000000-0000-4000-8000-000000000021"", ""shopId"": ""b2000000-0000-4000-8000-000000000004"", ""name"": ""streetwear item 12"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000013,a1000000-0000-4000-8000-000000000001,"[""vintage"", ""designer"", ""thrift""]",0,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000013"", ""categoryId"": ""f1000000-0000-4000-8000-000000000040"", ""shopId"": ""b2000000-0000-4000-8000-000000000001"", ""name"": ""vintage item 13"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000014,a1000000-0000-4000-8000-000000000002,"[""bag"", ""tote"", ""phukien""]",1,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000014"", ""categoryId"": ""f1000000-0000-4000-8000-000000000024"", ""shopId"": ""b2000000-0000-4000-8000-000000000002"", ""name"": ""bag item 14"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000015,a1000000-0000-4000-8000-000000000003,"[""minimal"", ""basic"", ""aonu""]",1,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000015"", ""categoryId"": ""f1000000-0000-4000-8000-000000000011"", ""shopId"": ""b2000000-0000-4000-8000-000000000003"", ""name"": ""minimal item 15"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000016,a1000000-0000-4000-8000-000000000004,"[""sneaker"", ""kicks"", ""dunk""]",0,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000016"", ""categoryId"": ""f1000000-0000-4000-8000-000000000013"", ""shopId"": ""b2000000-0000-4000-8000-000000000004"", ""name"": ""sneaker item 16"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000017,a1000000-0000-4000-8000-000000000001,"[""streetwear"", ""ootd"", ""hoodie""]",2,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000017"", ""categoryId"": ""f1000000-0000-4000-8000-000000000030"", ""shopId"": ""b2000000-0000-4000-8000-000000000001"", ""name"": ""streetwear item 17"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000018,a1000000-0000-4000-8000-000000000002,"[""vintage"", ""designer"", ""thrift""]",2,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000018"", ""categoryId"": ""f1000000-0000-4000-8000-000000000011"", ""shopId"": ""b2000000-0000-4000-8000-000000000002"", ""name"": ""vintage item 18"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000019,a1000000-0000-4000-8000-000000000003,"[""bag"", ""tote"", ""phukien""]",2,1,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000019"", ""categoryId"": ""f1000000-0000-4000-8000-000000000014"", ""shopId"": ""b2000000-0000-4000-8000-000000000003"", ""name"": ""bag item 19"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000020,a1000000-0000-4000-8000-000000000004,"[""minimal"", ""basic"", ""aonu""]",1,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000020"", ""categoryId"": ""f1000000-0000-4000-8000-000000000012"", ""shopId"": ""b2000000-0000-4000-8000-000000000004"", ""name"": ""minimal item 20"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000021,a1000000-0000-4000-8000-000000000001,"[""sneaker"", ""kicks"", ""dunk""]",1,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000021"", ""categoryId"": ""f1000000-0000-4000-8000-000000000023"", ""shopId"": ""b2000000-0000-4000-8000-000000000001"", ""name"": ""sneaker item 21"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000022,a1000000-0000-4000-8000-000000000002,"[""streetwear"", ""ootd"", ""hoodie""]",1,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000022"", ""categoryId"": ""f1000000-0000-4000-8000-000000000021"", ""shopId"": ""b2000000-0000-4000-8000-000000000002"", ""name"": ""streetwear item 22"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000023,a1000000-0000-4000-8000-000000000003,"[""vintage"", ""designer"", ""thrift""]",1,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000023"", ""categoryId"": ""f1000000-0000-4000-8000-000000000040"", ""shopId"": ""b2000000-0000-4000-8000-000000000003"", ""name"": ""vintage item 23"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000024,a1000000-0000-4000-8000-000000000004,"[""bag"", ""tote"", ""phukien""]",1,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000024"", ""categoryId"": ""f1000000-0000-4000-8000-000000000024"", ""shopId"": ""b2000000-0000-4000-8000-000000000004"", ""name"": ""bag item 24"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000025,a1000000-0000-4000-8000-000000000001,"[""minimal"", ""basic"", ""aonu""]",1,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000026,a1000000-0000-4000-8000-000000000002,"[""sneaker"", ""kicks"", ""dunk""]",1,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000027,a1000000-0000-4000-8000-000000000003,"[""streetwear"", ""ootd"", ""hoodie""]",2,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000028,a1000000-0000-4000-8000-000000000004,"[""vintage"", ""designer"", ""thrift""]",2,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000029,a1000000-0000-4000-8000-000000000001,"[""bag"", ""tote"", ""phukien""]",0,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000030,a1000000-0000-4000-8000-000000000002,"[""minimal"", ""basic"", ""aonu""]",1,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000031,a1000000-0000-4000-8000-000000000003,"[""sneaker"", ""kicks"", ""dunk""]",0,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000032,a1000000-0000-4000-8000-000000000004,"[""streetwear"", ""ootd"", ""hoodie""]",1,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000033,a1000000-0000-4000-8000-000000000001,"[""vintage"", ""designer"", ""thrift""]",2,2,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000034,a1000000-0000-4000-8000-000000000002,"[""bag"", ""tote"", ""phukien""]",2,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000035,a1000000-0000-4000-8000-000000000003,"[""minimal"", ""basic"", ""aonu""]",1,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000036,a1000000-0000-4000-8000-000000000004,"[""sneaker"", ""kicks"", ""dunk""]",1,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000037,a1000000-0000-4000-8000-000000000001,"[""streetwear"", ""ootd"", ""hoodie""]",0,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000038,a1000000-0000-4000-8000-000000000002,"[""vintage"", ""designer"", ""thrift""]",2,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000039,a1000000-0000-4000-8000-000000000003,"[""bag"", ""tote"", ""phukien""]",3,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
simpost0000000000000040,a1000000-0000-4000-8000-000000000004,"[""minimal"", ""basic"", ""aonu""]",1,0,2025-12-20T10:00:00Z,[],ACTIVE,PUBLIC
